direction	angle	index	help	smooth							
left	-57	1	9	1							
left	-65	1	10	1							
left	-83	1	11	1							
left	-73	1	12	1							
right	28	-1	1	1							
left	-28	1	1	1							
left	-82	1	2	1							
straight	23	0	1	1							
left	-81	1	1	1							
straight	24	0	1	1							
left	-60	1	1	1							
right	100	-1	1	1							
left	-78	1	1	1							
left	-73	1	2	1							
left	-84	1	3	1							
right	40	-1	1	1							
left	-94	1	1	1							
left	-70	1	2	1							
left	-70	1	3	1							
left	-100	1	4	1							
left	-78	1	5	1							
left	-69	1	6	1							
left	-98	1	7	1							
left	-100	1	8	1							
left	-100	1	9	1							
left	-84	1	10	1							
left	-83	1	11	1							
left	-81	1	12	1							
straight	19	0	1	1							
left	-93	1	1	1							
left	-76	1	2	1							
left	-87	1	3	1							
right	32	-1	1	1							
left	-86	1	1	1							
left	-72	1	2	1							
left	-65	1	3	1							
left	-72	1	4	1							
left	-64	1	5	1							
straight	12	0	1	1							
left	-82	1	1	1							
right	29	-1	1	1							
left	-62	1	1	1							
right	34	-1	1	1							
left	-100	1	1	1							
left	-69	1	2	1							
left	-97	1	3	1							
right	35	-1	1	1							
left	-85	1	1	1							
left	-100	1	2	1							
left	-85	1	3	1							
left	-96	1	4	1							
left	-85	1	5	1							
straight	22	0	1	1							
left	-100	1	1	1							
straight	12	0	1	1							
left	-99	1	1	1							
left	-100	1	2	1							
left	-100	1	3	1							
left	-94	1	4	1							
straight	11	0	1	1							
left	-62	1	1	1							
right	32	-1	1	1							
left	-72	1	1	1							
left	-83	1	2	1							
left	-70	1	3	1							
left	-100	1	4	1							
left	-89	1	5	1							
left	-94	1	6	1							
left	-95	1	7	1							
left	-86	1	8	1							
left	-100	1	9	1							
left	-100	1	10	1							
left	-100	1	11	1							
left	-100	1	12	1							
left	-98	1	13	1							
left	-87	1	14	1							
left	-89	1	15	1							
left	-63	1	16	1							
left	-76	1	17	1							
left	-86	1	18	1							
left	-82	1	19	1							
left	-100	1	20	1							
left	-82	1	21	1							
straight	14	0	1	1							
left	-68	1	1	1							
left	-70	1	2	1							
straight	-1	0	1	1							
left	-98	1	1	1							
left	-71	1	2	1							
left	-88	1	3	1							
left	-100	1	4	1							
left	-62	1	5	1							
left	-100	1	6	1							
left	-77	1	7	1							
left	-57	1	8	1							
left	-65	1	9	1							
left	-87	1	10	1							
left	-54	1	11	1							
straight	25	0	1	1							
left	-78	1	1	1							
left	-100	1	2	1							
left	-95	1	3	1							
left	-89	1	4	1							
